generation,specimen_id,total_fitness,alive_bonus,speed,height_diff,forces,distance
0,0,-656.930409229075,94.5,23.539692554487463,-5.970101783536248,-720.0000000000263,-49.0
0,1,-1215.919587471063,79.5,43.65458096488666,-8.07416843598258,-1279.9999999999673,-51.0
0,2,-1768.7282952615844,102.0,49.15999412372061,-8.888289385339808,-1839.9999999999652,-71.0
0,3,-570.4030477318146,67.5,-16.958410490216135,-3.9446372416284516,-479.99999999997,-137.0
0,4,-1473.5395040430983,73.0,55.293173706745606,-7.832677749821142,-1560.0000000000227,-34.0
0,,-116.23319688269896,108.5,50.16561815931368,-9.898815042041926,-239.99999999997073,-25.0
0,,-2874.037662884095,123.5,-8.234436333343847,-10.303226550789402,-2859.999999999962,-119.0
0,,-2215.57681863691,214.0,68.97295755800178,-26.549776194892384,-2440.0000000000196,-32.0
0,,-454.37252124975936,97.0,-5.306710332941935,-11.065810916790477,-420.00000000002694,-115.0
1,1,-525.339303841231,250.5,285.418555819045,-34.25785966025121,-1060.0000000000248,33.0
1,2,-1219.5004194912156,67.5,39.12937778139147,-6.129797272583142,-1320.0000000000239,0.0
1,3,-419.8365013946049,123.5,-82.95444872998522,-11.382052664648585,-199.9999999999711,-249.0
1,4,-3807.642465343751,103.5,77.36314888364649,-8.505614227383115,-3940.0000000000146,-40.0
1,,-795.4264999923829,53.5,19.733744179090017,-3.660244171447187,-820.0000000000257,-45.0
1,,-296.9120498770327,53.5,53.72371072134488,-4.135760598407577,-399.99999999997,0.0
1,,-380.4408799678903,112.5,125.3706597963832,-9.311539764247229,-600.0000000000263,-9.0
1,,-1376.7297553742922,133.5,-74.60777708777776,-9.621978286490148,-1160.0000000000243,-266.0
2,1,-1055.5573167801003,188.5,252.03289668183655,-20.090213461913443,-1580.0000000000234,104.0
2,2,-1155.7726718758552,106.5,67.33583640268391,-9.608508278571774,-1319.9999999999673,0.0
2,3,-1754.0854303211097,133.0,105.75066632361577,-13.836096644760623,-1939.9999999999648,-39.0
2,4,-1824.1073547855785,91.0,-40.51116995173724,-10.596184833875478,-1679.999999999966,-184.0
2,,-1584.0590661409105,83.5,-48.701889627868205,-9.857176513018894,-1440.0000000000234,-169.0
2,,-908.6987548794588,116.0,-30.751731804968692,-9.947023074521438,-799.9999999999686,-184.0
2,,-1625.0044261330809,40.0,38.87525549448344,-3.8796816275419075,-1700.0000000000223,0.0
2,,-2166.3267277537525,77.5,-26.465463406484215,-5.36126434730352,-2059.9999999999645,-152.0
3,1,-1281.3774033562522,64.5,19.286611878034435,-5.164015234319937,-1359.9999999999668,0.0
3,2,-1427.0613003839849,57.0,23.637739338233104,-3.699039722194543,-1440.0000000000234,-64.0
3,3,-1177.139461329884,70.5,27.516653365124103,-5.156114695040867,-1219.9999999999673,-50.0
3,4,-881.2769738343981,89.5,-49.627532153697985,-8.149441680674407,-740.0000000000257,-173.0
3,,-881.2769738343981,89.5,-49.627532153697985,-8.149441680674407,-740.0000000000257,-173.0
3,,-881.2769738343981,89.5,-49.627532153697985,-8.149441680674407,-740.0000000000257,-173.0
3,,-881.2769738343981,89.5,-49.627532153697985,-8.149441680674407,-740.0000000000257,-173.0
3,,-881.2769738343981,89.5,-49.627532153697985,-8.149441680674407,-740.0000000000257,-173.0
4,1,-1891.2589339499052,85.5,-8.955013070932573,-6.803920879007439,-1839.9999999999652,-121.0
4,2,-377.86823965201006,163.5,7.992364713837228,-16.36060436582024,-380.00000000002706,-153.0
4,3,-2478.086512190153,97.0,32.9164050905509,-12.00291728068444,-2540.0000000000196,-56.0
4,4,-721.8198411907867,68.5,15.958601023106327,-5.278442213867246,-740.0000000000258,-61.0
4,,-2298.0214049313836,73.0,-6.239531826477346,-4.781873104942598,-2239.9999999999636,-120.0
4,,-462.1276833430199,138.5,-96.12778472188761,-11.499898621161394,-239.9999999999709,-253.0
4,,-506.9610582302156,115.5,0.3300217292975736,-11.791079959486384,-500.0000000000268,-111.0
4,,-359.3203428521263,99.0,16.07866318889286,-9.399006040991878,-420.0000000000273,-45.0
5,1,-261.6513805055971,47.0,-28.935187693869175,-3.716192811757038,-179.9999999999709,-96.0
5,2,-278.1320078136927,156.0,-91.0696598044077,-16.062348009256702,-40.000000000028336,-287.0
5,3,-65.60566938788224,170.5,55.89414139049011,-15.99981077834435,-220.00000000002802,-56.0
5,4,-704.0329367319091,108.0,11.092868880217365,-16.12580561210062,-760.0000000000258,-47.0
5,1,-261.6513805055971,47.0,-28.935187693869175,-3.716192811757038,-179.9999999999709,-96.0
5,2,-278.1320078136927,156.0,-91.0696598044077,-16.062348009256702,-40.000000000028336,-287.0
5,3,-65.60566938788224,170.5,55.89414139049011,-15.99981077834435,-220.00000000002802,-56.0
5,4,-704.0329367319091,108.0,11.092868880217365,-16.12580561210062,-760.0000000000258,-47.0
