generation,specimen_id,total_fitness,alive_bonus,speed,height_diff,forces,distance
0,0,-264.2218735620872,89.0,86.67012898350211,-6.892002545562008,-400.0000000000273,-33.0
0,1,-2957.4776838081566,133.5,31.187013766864442,-11.164697575003128,-3060.0000000000177,-51.0
0,2,-893.4343259651216,145.0,62.82564428766144,-12.259970252814735,-1019.9999999999684,-69.0
0,3,-1647.760072206061,122.5,-22.788825480397346,-10.471246725697625,-1559.9999999999661,-177.0
0,4,33.59304401826513,102.5,79.83317384698006,-8.74012982868709,-120.00000000002784,-20.0
0,5,-2409.2129416072194,99.0,40.81986658080399,-7.032808188060455,-2499.9999999999627,-42.0
0,6,-1840.874609095856,170.5,61.62199817303717,-14.996607268928354,-1999.9999999999648,-58.0
0,7,-1674.0272614904761,101.0,7.004906993511357,-8.032168484022202,-1719.9999999999652,-54.0
0,8,-499.8565977113873,96.5,-74.62789813214314,-9.728699579216835,-320.0000000000273,-192.0
0,9,-1363.2612258520767,36.0,44.24019609016725,-3.501421942220376,-1440.0000000000236,0.0
0,,-344.9426177669821,118.0,105.89761369628596,-10.840231463298398,-539.9999999999696,-18.0
0,,-1942.9342390447503,131.5,79.3394025375974,-11.773641582326631,-2140.000000000021,-2.0
0,,-741.9144653026822,133.0,-71.96420218664886,-10.950263116006864,-540.0000000000264,-252.0
0,,-1108.7911471825992,135.0,23.19459879973866,-14.98574598237063,-1179.9999999999673,-72.0
0,,-568.6196004719535,153.0,-104.19036783741205,-16.42923263451414,-340.0000000000273,-261.0
0,,-264.2218735620872,89.0,86.67012898350211,-6.892002545562008,-400.0000000000273,-33.0
1,4,-1824.7146549325007,100.5,86.9820116891633,-9.196666621642803,-1980.0000000000211,-23.0
1,5,-2884.391199760502,92.0,63.44213827022988,-6.833338030771016,-3019.999999999961,-13.0
1,6,-724.8307746670313,198.5,-75.81323209910998,-16.517542567951057,-459.9999999999702,-371.0
1,7,-922.0928373160576,201.0,-62.33723675659483,-13.75560055949382,-759.999999999969,-287.0
1,8,-107.99979678433854,75.0,2.021617533159979,-7.0214143174705566,-140.00000000002797,-38.0
1,9,-2445.262156632518,95.5,87.75387692460092,-8.516033557099115,-2600.0000000000196,-20.0
1,,33.59304401826513,102.5,79.83317384698006,-8.74012982868709,-120.00000000002784,-20.0
1,,-964.727363868478,42.0,27.256739400681077,-3.9841032691914555,-999.9999999999677,-30.0
1,,-2344.8232537621598,80.0,35.155602885698904,-6.978856647895535,-2419.999999999963,-33.0
1,,-2916.610876939582,42.5,22.89222107192508,-4.0030980115461565,-2959.999999999961,-18.0
1,,-596.1314604974344,70.0,17.290143096580646,-6.421603594045678,-619.9999999999694,-57.0
1,,33.59304401826513,102.5,79.83317384698006,-8.74012982868709,-120.00000000002784,-20.0
2,4,-1083.9187330796374,52.0,51.638339315227164,-4.557072394897329,-1179.9999999999673,-3.0
2,5,-3240.2203099556514,96.5,94.04282765287562,-7.763137608510693,-3400.0000000000164,-23.0
2,6,-698.8135537070505,57.5,25.830631400112203,-5.144185107136863,-740.0000000000258,-37.0
2,7,-2339.8141029178846,229.5,98.36981399498771,-26.683916912852634,-2600.0000000000196,-41.0
2,8,-1446.5251153251995,53.5,-26.826302850088762,-5.198812475144041,-1359.9999999999668,-108.0
