generation,specimen_id,total_fitness,alive_bonus,speed,height_diff,forces,distance
0,0,44.009606719587055,165.5,102.08173337514894,-14.572126655561581,-220.00000000000028,11.0
0,1,-782.9059875837936,118.0,-33.31087736286419,-9.595110220929092,-620.0000000000003,-238.0
0,2,-306.395733591574,105.5,-33.065691651929406,-7.830041939644258,-180.00000000000034,-191.0
0,3,-225.11028592623995,136.5,-2.8055043279151883,-11.804781598325137,-239.9999999999996,-107.0
0,4,-624.2105951332953,105.5,-36.3518046618286,-11.358790471467202,-479.9999999999995,-202.0
