generation,specimen_id,total_fitness,alive_bonus,speed,height_diff,forces,distance
0,0,24.893298449315736,91.5,13.198518741786033,-7.8052202924421925,-40.00000000002811,-32.0
0,1,-1989.8237442766003,191.0,96.72340583213902,-19.547150108718753,-2240.0000000000205,-18.0
0,2,63.05495182702211,219.5,120.18569283140062,-30.630741004407685,-219.9999999999708,-26.0
0,3,-1353.6807493152696,135.5,81.77250402408106,-11.953253339384313,-1539.9999999999663,-19.0
0,4,-142.9629165160245,75.5,-11.355004695389571,-8.107911820606757,-100.0000000000282,-99.0
0,5,-1535.1038389205266,75.5,59.37052901154589,-5.974367932049839,-1640.0000000000227,-24.0
0,6,-336.78521616643104,60.5,-68.40160105316589,-5.883615113294208,-199.99999999997095,-123.0
0,7,-3408.8925864381063,78.5,20.061005773106004,-7.453592211252646,-3479.9999999999595,-20.0
0,8,-1380.7047347874368,83.0,-22.98443464347192,-8.72030014399801,-1339.9999999999668,-92.0
0,9,-1583.3530745513779,250.5,189.11501192405598,-22.968086475469345,-1999.9999999999645,0.0
0,10,-2416.895528298681,98.5,85.12510525749697,-9.520633556158385,-2560.0000000000196,-31.0
0,11,-142.43443990277967,78.5,8.288504544789916,-8.222944447598445,-179.99999999997115,-41.0
0,12,-450.830119504251,56.5,48.54287857979931,-3.8729980840236893,-540.0000000000266,-12.0
0,13,-2470.896914454421,49.5,43.79807454565974,-4.194989000118624,-2559.9999999999623,0.0
0,14,-496.7706790752362,65.0,42.10737627750043,-5.8780553527667925,-579.9999999999699,-18.0
0,15,-1833.9603978612759,41.5,33.46396702998393,-3.9243648912945157,-1879.9999999999652,-25.0
0,16,-88.51350018658553,109.5,49.486756961548465,-10.500257148163083,-199.9999999999709,-37.0
0,17,-406.0659274987391,120.5,79.178357876152,-9.744285374864944,-560.0000000000261,-36.0
0,18,-598.3156353733609,52.5,-58.42235070429441,-5.393284669096443,-479.99999999997,-107.0
0,19,-660.4840831005755,83.5,-16.212046522865798,-9.772036577740485,-619.9999999999692,-98.0
0,20,-1463.938944933184,103.5,0.6922006994677776,-10.131145632685222,-1439.9999999999666,-118.0
0,21,-2289.903375514992,63.0,22.25332865838937,-5.156704173361109,-2320.0000000000205,-50.0
0,22,-578.7530821431585,161.5,94.85857413300323,-18.111656276193163,-779.9999999999686,-37.0
0,23,-567.3128791956847,75.0,-21.679980142175225,-6.6328990535395524,-499.9999999999698,-114.0
0,24,-3263.5332467568705,52.5,-4.177941695945099,-3.8553050609087998,-3260.000000000017,-48.0
0,25,-4955.38516397729,70.5,43.73121291766421,-6.616376894943591,-5040.000000000011,-23.0
0,26,-434.1569491300136,106.5,52.02691373798288,-11.683862868026825,-559.9999999999696,-21.0
0,27,-1680.703997088443,77.5,88.30055725326588,-6.504554341743532,-1839.9999999999652,0.0
