generation,specimen_id,total_fitness,alive_bonus,speed,height_diff,forces
0,0,27.39474431148014,115.0,47.35125963467113,-13.712908309056077,-121.24360701413491
0,1,-235.6269099904876,38.5,-29.63640286493307,-3.5983907215523416,-240.8921164040022
0,2,-119.51137747122957,154.0,-34.534652420515165,-15.500324911425537,-223.47640013928887
0,3,-457.7919518466831,69.5,-38.1281436337553,-7.288261155479658,-481.87554705744816
0,4,-244.92955074974634,74.5,-81.59206272640193,-7.455063609915172,-230.38242441342925
0,5,-37.00008066227479,70.0,-36.98872722740544,-8.266785126305871,-61.74456830856348
0,6,-369.97665391941257,93.5,38.73923061775672,-10.361036556508143,-491.85484798066113
0,7,-229.71628307520083,136.5,-90.6085246136801,-14.943190072285898,-260.66456838923483
0,8,-653.2040807250962,66.0,-48.835528382301625,-7.351820831317825,-663.0167315114768
0,9,-716.5351796689941,72.5,-46.710389711910324,-7.788454168634859,-734.5363357884489
0,10,-380.918730212791,62.5,-48.68734284994337,-6.569758871682691,-388.16162849116495
0,11,-399.4867815468931,85.5,-50.278512618777256,-9.58647102393514,-425.1217979041807
0,12,-179.04821336210256,72.0,-46.97542408477554,-7.03467437269984,-197.03811490462718
0,13,-714.0958765020117,69.0,-41.43652341461808,-7.379459025210171,-734.2798940621834
0,14,-56.46179942814475,54.5,-21.792282372363104,-4.66841392701914,-84.50110312876251
0,15,-342.9318021505749,62.5,-16.07700577282303,-5.386351218136277,-383.9684451596156
0,16,-218.95351070719795,69.5,34.290988626912394,-6.322191013860272,-316.42230832025007
0,17,86.85890833039748,132.5,46.97048245423619,-14.11835091279499,-78.49322321104371
0,18,-9.142920326929755,134.0,11.832023070248928,-11.37316537008662,-143.60177802709208
0,19,-364.78184798050063,75.0,-16.09653206962399,-7.457828661582867,-416.22748724929374
0,20,-712.0290809481897,189.0,10.960644521722433,-19.618247279033216,-892.371478190879
0,21,-238.51523252482832,101.0,51.98373314592078,-12.3912157392566,-379.1077499314925
0,22,-91.49212152271899,118.5,-0.2737988436873382,-12.383909610700588,-197.33441306833106
0,23,-423.0885688307311,76.0,-34.8715237213115,-8.01722565527212,-456.1998194541475
0,24,-28.44140066998558,63.0,-44.93313656424888,-6.82429298307112,-39.683971122665575
0,25,-503.09866355283646,145.0,-56.234414009554676,-16.43976026425746,-575.4244892790243
0,26,-100.14750423221139,78.5,-59.31323727020962,-8.425748479206105,-110.90851848279567
0,27,46.76154445301509,113.0,-40.16566200025826,-12.363021854380895,-13.709771692345749
0,28,-481.21565890501756,100.0,-71.9173805753811,-10.219870831860748,-499.07840749777574
0,29,-432.59260229461785,80.5,33.18869186029913,-9.046717749161196,-537.2345764057558
0,30,-38.95265258041731,85.5,-38.96318617942693,-9.472727729639006,-76.01673867135138
0,31,7.360207401178819,101.5,-57.09507068360048,-11.446049110739269,-25.59867280448143
0,32,-642.8340336040827,59.0,-33.13306366036744,-5.621589042279495,-663.0793809014358
0,33,-340.01711844660997,111.0,-20.23775128476338,-11.360949558335136,-419.41841760351144
0,34,8.183408386809436,79.0,-34.139859232625156,-7.4499445572528655,-29.226787823312545
0,35,-237.37112058653423,55.0,-24.260771980713827,-4.762629699320157,-263.34771890650023
0,36,-127.97254185005467,77.5,-25.04560690625176,-7.979412952279462,-172.44752199152344
0,37,-20.051836772953976,144.5,39.984565578417275,-16.56100309416544,-187.97539925720582
0,38,15.670158201819646,151.5,-47.55427428891316,-15.383016385199705,-72.89255112406748
0,39,-1223.7153261937608,62.0,-38.442127906305934,-6.458148796647767,-1240.815049490807
0,40,93.83179385472091,107.0,18.06024935494996,-11.71735357578951,-19.51110192443953
0,41,-149.03851387240815,82.5,-70.85471642992405,-9.376248295079643,-151.30754914740444
0,42,-156.6635569369331,92.0,-41.415270491082225,-9.572810426184773,-197.6754760196661
0,43,-207.78300607098737,78.5,-57.96675394373602,-8.946306386019412,-219.36994574123193
0,44,-342.563407636481,62.5,30.067120360612126,-6.0399585793375445,-429.09056941775555
0,45,-137.1216127313012,57.5,-35.2733811193066,-5.371232268209728,-153.97699934378488
0,46,-134.9113044981383,97.5,-32.16769201671335,-8.774880993806168,-191.46873148761878
0,47,-29.426940955496377,136.0,30.069606131025125,-14.467729634210365,-181.02881745231113
0,48,-643.7928391143853,65.5,-41.75602147022465,-6.645995011212451,-660.8908226329482
0,49,24.104546449918686,108.0,26.65816219506888,-11.291954526237095,-99.2616612189131
0,50,-389.38258599153966,104.0,24.084886222955078,-11.305122246054012,-506.1623499684407
0,51,-243.50947914082383,220.0,-51.09721628196188,-22.754843186183336,-389.6574196726786
0,52,-414.9051123577186,250.5,-39.61007042030791,-31.803031550220094,-593.9920103871906
0,53,-65.72504843166163,84.0,-38.46996158243456,-8.451622197937246,-102.80346465128983
0,54,-295.84883567026424,54.5,-46.115880121087685,-5.705850951992615,-298.52710459718395
0,55,-143.88509427563918,128.5,38.518329410892655,-11.17482774756344,-299.7285959389684
0,56,-30.694440074920486,70.0,-50.78681869896008,-7.044828845777884,-42.86279253018252
0,57,-469.1031444169938,67.5,22.645222209807145,-5.42856863922033,-553.8197979875806
