generation,specimen_id,total_fitness,distance,walk_straight,speed,joints_at_limits,alive_bonus,height_diff
0,0,-2694.1421280658587,-625.4086758249565,-0.3479957494648377,256.96754936005317,-2540,214,0.6469941485092362
0,1,-23769.63071282572,854.6079560347335,-3629.8982858939466,280.453681423411,-21780,504,1.2059356100793979
0,2,-2093.107897551634,548.9026632490467,-38.14366395972276,261.1671744216445,-3120,254,0.9659287373980269
0,3,-3209.719640200225,-378.3969450835637,-4.049968552459314,248.02656821893194,-3210,134,0.7007052168659249
0,4,-3191.1289283447422,-480.8046744182155,-5.96267627292297,269.0573742486171,-3140,166,0.581048097778663
0,5,-3670.234767855675,-689.8862748133071,-0.7318713773308918,251.7286012067485,-3550,318,0.6547771282145286
0,6,-1736.1770536091572,-540.6229158067358,-0.3560100896746469,254.14189485692154,-1640,190,0.6599774303317405
0,7,-921.9826888634193,-277.0990305903201,-0.020876966528310333,230.2262552113345,-970,94,0.9109634820946414
0,8,-12180.755596783207,1017.3069296245695,-710.2010246551607,277.1171654659761,-13270,504,1.0213327814096382
0,9,-9275.537020592723,-203.23025466935252,-366.7331603159038,259.6220262688809,-9440,474,0.8043681236514039
0,,-921.9826888634193,-277.0990305903201,-0.020876966528310333,230.2262552113345,-970,94,0.9109634820946414
0,,-4253.849654189194,-536.4212604985275,-1.571772857785027,295.5576073425983,-4240,228,0.5857718245205928
0,,-2746.54427698292,-384.90083767270835,-1.5693637728522858,255.31537863232987,-2750,134,0.6105458303106357
0,,-921.9826888634193,-277.0990305903201,-0.020876966528310333,230.2262552113345,-970,94,0.9109634820946414
0,,-921.9826888634193,-277.0990305903201,-0.020876966528310333,230.2262552113345,-970,94,0.9109634820946414
0,,-1630.0216884046522,-375.099420832332,-0.1626165016413626,242.51630511004262,-1640,142,0.7240438192783833
1,4,-1596.7673934558431,-290.4534026113267,-0.45345393939356826,231.36242145402915,-1640,102,0.7770416408479447
1,5,-13860.88345447388,-178.55577510176403,-0.5208735597783178,303.99183154437145,-14490,504,0.20136264329117073
1,6,-2147.3172618258045,-419.8397635410066,-0.10848958150275168,249.43052135047458,-2120,142,1.2004699462306063
1,7,-1019.0660290817925,-341.40763214753156,-0.07500699238783276,233.66333849529872,-1030,118,0.7532715628281522
1,8,-1104.6924838374587,-251.54828283889344,-0.10372005311412642,229.763993145343,-1170,86,1.1955259092058181
1,9,-1986.0162295110588,-291.3771554445931,-0.2581518647213948,240.90555904997723,-2070,134,0.7135187482783921
1,,-921.9826888634193,-277.0990305903201,-0.020876966528310333,230.2262552113345,-970,94,0.9109634820946414
1,,-921.9826888634193,-277.0990305903201,-0.020876966528310333,230.2262552113345,-970,94,0.9109634820946414
1,,-921.9826888634193,-277.0990305903201,-0.020876966528310333,230.2262552113345,-970,94,0.9109634820946414
1,,-1076.4697962398996,-291.0726434380262,-0.49294325258036437,234.3410946454452,-1120,100,0.7546958052617265
1,,-921.9826888634193,-277.0990305903201,-0.020876966528310333,230.2262552113345,-970,94,0.9109634820946414
1,,-921.9826888634193,-277.0990305903201,-0.020876966528310333,230.2262552113345,-970,94,0.9109634820946414
2,4,-1795.6628774233502,-517.1763525586142,-0.6339737271160155,247.30198900444435,-1700,174,0.8454598579356564
2,5,-972.2084098416884,-276.2308554840089,-0.016579651647565485,229.10078328902688,-1020,94,0.938242004941104
2,6,-1092.1179527517456,-341.8982967844789,-0.19354121126375096,241.20671701401153,-1110,118,0.7671682299854939
2,7,-1388.762529773356,-322.45153879598325,-0.18215022812285914,243.17819348141086,-1420,110,0.6929657693392427
2,8,-586.3037813243201,-356.79162760584506,-0.9169058654916933,234.59722058960386,-590,126,0.8075315574127258
2,9,-1220.593660978587,-296.03667440563703,-0.28511919591341434,232.86488632114646,-1260,102,0.863246301817179
2,4,-1795.6628774233502,-517.1763525586142,-0.6339737271160155,247.30198900444435,-1700,174,0.8454598579356564
2,5,-972.2084098416884,-276.2308554840089,-0.016579651647565485,229.10078328902688,-1020,94,0.938242004941104
2,6,-1092.1179527517456,-341.8982967844789,-0.19354121126375096,241.20671701401153,-1110,118,0.7671682299854939
2,7,-1388.762529773356,-322.45153879598325,-0.18215022812285914,243.17819348141086,-1420,110,0.6929657693392427
2,8,-586.3037813243201,-356.79162760584506,-0.9169058654916933,234.59722058960386,-590,126,0.8075315574127258
2,9,-1220.593660978587,-296.03667440563703,-0.28511919591341434,232.86488632114646,-1260,102,0.863246301817179
