generation,specimen_id,total_fitness,alive_bonus,speed,height_diff,forces,distance
0,0,-157.81930354474315,76.5,60.294242280885065,-5.994709739470212,-288.618836086158,0.0
0,1,16.63564635106718,96.5,54.83971153892018,-8.465242477754899,-118.23882271009808,-8.0
0,2,-763.451229188221,91.0,75.79058582604101,-8.164625417506004,-922.0771895967559,0.0
0,3,-207.35242499120332,74.5,-52.71523400631031,-8.447665566715791,-69.68952541817723,-151.0
0,4,-130.72250585038148,96.5,52.3503381896952,-6.060487873772385,-254.5123561663043,-19.0
0,5,-324.76258857871267,181.0,-42.86587634834173,-20.34070947212916,-86.55600275824179,-356.0
0,6,-147.95956163616063,67.0,-56.54497589760206,-7.37325196162169,-15.041333776936876,-136.0
0,7,-586.3305394617526,88.5,33.33821795489917,-7.886453968562554,-624.2823034480892,-76.0
0,8,-492.61060106729457,76.5,-26.65960298095902,-7.108910830734988,-395.3420872556006,-140.0
0,9,-133.01076915794698,87.5,40.25284029611148,-8.199467423139613,-182.56414203091884,-70.0
0,10,-277.34173397233667,116.0,-18.219791997177566,-12.269261576206231,-199.85268039895288,-163.0
0,11,-294.2071588142714,84.0,-31.71517758355629,-7.754661351888662,-203.73731987882644,-135.0
0,12,-55.635835548269895,80.5,54.07484502565967,-7.88219550409785,-157.32848506983171,-25.0
0,13,-429.29665764095597,240.5,13.68411069860798,-28.776565043560094,-453.70420329600387,-201.0
0,14,-1000.2408400521606,103.0,-22.047510622969636,-9.502257351356556,-909.6910720778344,-162.0
0,15,-384.42256965604963,59.0,-10.3636575426636,-4.905586651071188,-352.15332546231485,-76.0
0,16,-535.5034378687903,122.0,-40.16989247126255,-13.846514091176946,-357.4870313063508,-246.0
0,17,-98.86990248170147,130.5,-16.725500619477486,-11.664525724230542,-5.979876137993438,-195.0
0,18,-467.45592883881864,85.0,-35.19918139433138,-8.243616246594808,-369.01313119789245,-140.0
0,19,-340.7096221376898,101.5,-34.18050333835438,-10.76304790312778,-221.26607089620762,-176.0
0,20,-219.18218807800253,155.0,53.55797129874514,-13.734100710801378,-414.0060586659463,0.0
0,21,-446.6703805221492,84.5,42.92790723010606,-8.427965395634795,-518.6703223566204,-47.0
0,22,-175.91546078953687,100.5,21.110001835719007,-9.235952300995624,-192.28951032426025,-96.0
0,23,-391.29136294055354,79.5,52.86377265917119,-8.253640371816402,-461.40149522790836,-54.0
0,24,-70.94566775676488,90.0,23.029272969430586,-7.933419699642895,-84.04152102655257,-92.0
0,25,-171.50912739568295,77.0,-61.2491736375319,-8.918178114801425,-22.34177564334964,-156.0
0,26,4.3972770694818735,170.5,74.14817157608172,-12.15354296568376,-203.0973515409161,-25.0
