generation,specimen_id,total_fitness,alive_bonus,speed,height_diff,forces,distance
0,0,-1851.1130395955306,133.0,-32.85331302383789,-11.259726571670502,-1720.0000000000223,-220.0
0,1,224.8626986793355,174.0,164.24956630035706,-16.386867621050502,-119.99999999997108,23.0
0,2,-2785.2476978905647,66.5,-49.903587752491354,-6.844110138054045,-2660.000000000019,-135.0
0,3,-1530.3381905195529,40.0,16.366046478451715,-3.704236997981618,-1560.000000000023,-23.0
0,4,-824.4116430249035,99.0,-55.024741940001924,-8.386901084932298,-659.9999999999692,-200.0
0,5,80.0282418458346,81.5,28.22739783899024,-9.699155993184112,-19.999999999971536,0.0
0,6,-931.077798359612,58.0,58.59477836890314,-4.672576728547188,-1039.999999999968,-3.0
0,7,-1148.5284733723315,53.5,-48.20986483426756,-4.818608538038876,-1040.000000000025,-109.0
0,8,-1098.4443130821937,41.5,-33.429821759045105,-3.514491323123971,-1020.0000000000248,-83.0
0,9,-109.35193321359793,72.5,88.18011397142757,-6.032047184997926,-240.00000000002757,-24.0
0,,-1155.944277416369,51.0,-23.230964439834953,-4.713312976566275,-1099.9999999999677,-79.0
0,,-632.3804549073628,48.0,32.28024977804959,-3.6607046853861096,-680.0000000000263,-29.0
0,,-379.3943426219648,171.0,45.14780239533384,-12.542145017329004,-519.9999999999696,-63.0
0,,-1566.131327232172,90.0,2.918206672878348,-7.049533905027634,-1560.0000000000227,-92.0
0,,-2187.0837618746073,66.0,42.1145924365181,-6.198354311104702,-2260.0000000000205,-29.0
0,,-950.490013924152,224.0,46.00327072358728,-24.493284647714926,-1160.0000000000243,-36.0
0,,-131.1333951078381,107.5,77.05375265599645,-12.687147763864067,-299.9999999999705,-3.0
0,,-3555.6039640891886,115.5,78.58557567752557,-9.689539766755406,-3739.9999999999586,0.0
1,2,-323.7287135411998,101.0,-1.3154358549045613,-9.413277686324868,-319.9999999999703,-94.0
1,3,-1171.241878420541,58.5,29.51922738295932,-5.261105803476069,-1220.0000000000243,-34.0
1,4,-181.8272915494596,83.5,27.965808168823088,-6.29309971825541,-240.00000000002728,-47.0
1,5,-607.2718830357118,67.5,26.664754676655257,-6.436637712397697,-639.9999999999693,-55.0
1,6,-5453.118243339742,44.0,47.04780349474246,-4.16604683447457,-5540.000000000009,0.0
1,7,-1178.8182718313847,94.5,26.971801182889987,-9.290073014250288,-1260.0000000000243,-31.0
1,8,-107.14551284995264,219.5,183.66769085710862,-32.31320370709122,-459.99999999997,-18.0
1,9,-701.2638074143811,38.5,33.62540079327524,-3.3892082076303627,-760.0000000000259,-10.0
1,,-386.7659759922427,56.5,40.23847390905531,-5.504449901271257,-460.0000000000268,-18.0
